DateTime,Return1,Return5,SmaNorm,RSI14,DeltaRSI,ATR14,StdDev20,ZClose,VolZ,BodyToRange,IntraBarPos,UpperWick,LowerWick,Close
20250612 230000,0.001604,-0.002099,0.007409,29.390543,6.038173,57.020688,152.425237,-1.046497,-0.101755,0.901316,0.907895,3.500000,0.250000,21530.250000
20250612 231500,0.001288,-0.002525,0.005326,33.901094,4.510552,55.608496,147.196635,-0.779994,-0.366248,0.684564,0.885906,4.250000,7.500000,21558.000000
20250612 233000,-0.000418,-0.001345,0.004983,33.161214,-0.739880,53.582890,141.664028,-0.758044,-0.559199,0.330275,0.247706,11.500000,6.750000,21549.000000
20250612 234500,-0.000441,-0.000267,0.004659,32.358426,-0.802788,51.916255,134.875809,-0.744018,-0.802499,0.297521,0.206612,15.000000,6.250000,21539.500000
20250613 000000,0.001554,0.003587,0.002385,38.053425,5.694999,51.332951,123.572261,-0.416356,-0.838401,0.765714,0.771429,10.000000,0.250000,21573.000000
20250613 001500,-0.001426,0.000557,0.003025,35.129682,-2.923743,50.523454,109.431550,-0.595464,-0.990424,0.793750,0.162500,1.750000,6.500000,21542.250000
20250613 003000,-0.000522,-0.001253,0.002740,34.097492,-1.032191,49.218207,90.935314,-0.648813,-1.129272,0.379845,0.542636,2.500000,17.500000,21531.000000
20250613 004500,0.000453,-0.000383,0.001525,35.856528,1.759037,48.702621,65.088181,-0.504700,-1.015669,0.244048,0.309524,29.000000,2.750000,21540.750000
20250613 010000,0.000128,0.000186,0.000833,36.372388,0.515859,46.438148,43.153206,-0.415670,-1.143937,0.117647,0.323529,11.500000,3.500000,21543.500000
20250613 011500,0.000441,-0.000928,0.000039,38.220792,1.848404,45.638995,27.951118,-0.030410,-1.004648,0.262411,0.964539,1.250000,24.750000,21553.000000
20250613 013000,0.000058,0.000557,-0.000125,38.474060,0.253268,44.039781,25.875649,0.103862,-1.180460,0.150538,0.752688,5.750000,14.000000,21554.250000
20250613 014500,-0.000545,0.000534,0.000307,36.940999,-1.533061,42.394082,24.246710,-0.272717,-1.074344,0.666667,0.285714,1.000000,6.000000,21542.500000
20250613 020000,0.001287,0.001369,-0.000971,42.743630,5.802631,41.615934,24.403237,0.857980,-0.992339,0.857143,1.000000,0.000000,4.500000,21570.250000
20250613 021500,0.000730,0.001971,-0.001531,45.792504,3.048874,41.857653,24.177676,1.366963,0.895901,0.344444,0.394444,27.250000,2.250000,21586.000000
